Timestamp,Input File,Duration (s),Prompt Tokens,Completion Tokens,Total Tokens
2026-01-03T10:48:25.190457,RoughDaya.docx,123.65,0,0,0
2026-01-03T11:17:54.491327,1_Simple_Academic_Essay.docx,6.04,0,0,0
2026-01-03T16:10:01.618925,test_document_Title Page.docx,11.26,0,0,0
2026-01-03T17:18:57.351435,test_document_Title Page.docx,8.23,0,0,0
2026-01-03T17:55:48.953280,test_document_Title Page.docx,6.24,0,0,0
2026-01-03T18:05:30.383284,Neat version.docx,158.54,0,0,0
2026-01-03T18:10:27.487798,Neat version.docx,142.94,0,0,0
2026-01-03T18:49:22.636024,Neat version.docx,390.60,0,0,0
2026-01-04T08:46:05.060739,test_document_Title Page.docx,15.47,1037,376,1413
2026-01-04T08:49:34.785388,test_document_Title Page.docx,6.20,0,0,0
2026-01-04T08:58:19.964136,test_document_Title Page.docx,5.51,0,0,0
2026-01-04T08:59:29.786663,test_document_Title Page.docx,5.97,0,0,0
2026-01-04T09:00:51.789456,test_document_Title Page.docx,5.89,0,0,0
2026-01-04T09:04:24.117270,Neat version.docx,166.67,0,0,0
2026-01-07T03:29:16.722732,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,33.75,0,0,0
2026-01-07T03:31:06.755039,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,24.72,0,0,0
2026-01-07T03:45:23.640819,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,29.94,0,0,0
2026-01-07T11:17:24.954315,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,23.28,0,0,0
2026-01-07T12:24:10.733430,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,34.81,0,0,0
2026-01-07T12:30:55.196949,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,30.79,0,0,0
2026-01-07T12:32:37.099615,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,30.91,0,0,0
2026-01-07T12:40:04.199085,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,30.44,0,0,0
2026-01-07T12:45:50.298553,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,30.39,0,0,0
2026-01-07T14:55:38.473111,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,26.47,0,0,0
2026-01-07T14:58:47.013568,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,25.85,0,0,0
2026-01-07T15:07:34.062033,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,59.42,0,0,0
2026-01-07T15:10:56.565472,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,45.63,0,0,0
2026-01-07T15:24:02.845651,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,29.03,0,0,0
2026-01-07T16:34:23.476334,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,50.15,0,0,0
2026-01-07T17:19:35.168507,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,29.00,0,0,0
2026-01-07T17:41:03.443658,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,27.01,0,0,0
2026-01-07T17:51:59.822307,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,63.91,0,0,0
2026-01-07T18:17:30.593387,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,38.97,0,0,0
2026-01-07T21:21:02.556170,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,31.38,0,0,0
2026-01-07T21:23:29.142009,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,23.26,0,0,0
2026-01-08T11:41:07.591588,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,30.26,0,0,0
2026-01-08T11:51:42.965269,Critical Evaluation of Aldi’s Response During the Cost-of-Living Crisis in the UK.docx,31.48,0,0,0
2026-01-13T22:19:02.786458,test_input.docx,11.32,965,217,1182
2026-01-13T23:22:39.559216,test_input.docx,7.43,0,0,0
